,id,uid,age,gender,balance,bet,win,treatment,plays,wticket,uticket
145,184,jcgc7amz8,28,MALE,4,1,0,1,1,246233,246133
146,185,jcgc7amz8,28,MALE,1,3,0,1,2,456646,455646
147,186,jcgc7amz8,28,MALE,0,1,0,1,3,146312,146311
148,187,ico6w5g5j,30,FEMALE,3,2,0,0,1,435263,465236
149,188,ico6w5g5j,30,FEMALE,1,2,0,0,2,534541,264241
150,189,ico6w5g5j,30,FEMALE,0,1,0,0,3,112653,142323
151,190,ge4u1biq6,24,MALE,3,2,0,1,1,431452,431442
152,191,ge4u1biq6,24,MALE,2,1,0,1,2,332444,322444
153,192,ge4u1biq6,24,MALE,1,1,0,1,3,264264,265264
154,193,ge4u1biq6,24,MALE,2,1,1,1,4,134313,134313
155,194,dltkczure,26,MALE,2,3,0,0,1,213552,2-2352
156,195,dltkczure,26,MALE,4,2,1,0,2,241545,241545
157,196,dltkczure,26,MALE,3,1,0,0,3,124124,424151
158,197,dltkczure,26,MALE,2,1,0,0,4,436441,133411
159,198,dltkczure,26,MALE,1,1,0,0,5,416351,413621
160,199,dltkczure,26,MALE,0,1,0,0,6,411145,111415
161,200,gbfockm2q,23,MALE,4,1,0,1,1,165534,265534
162,201,gbfockm2q,23,MALE,2,2,0,1,2,513325,613325
163,202,gbfockm2q,23,MALE,0,2,0,1,3,265323,265322
164,203,jf3yfirj8,25,FEMALE,3,2,0,0,1,263565,236535
165,204,0p51j5zj0,26,MALE,3,2,0,1,1,426232,326232
166,205,0p51j5zj0,26,MALE,2,1,0,1,2,153263,153253
167,206,xzrupgi0d,29,MALE,6,1,1,0,1,535625,535625
168,207,xzrupgi0d,29,MALE,5,1,0,0,2,221344,-1-113
169,208,xzrupgi0d,29,MALE,4,1,0,0,3,361125,631122
170,209,xzrupgi0d,29,MALE,2,2,0,0,4,633261,63353-
171,210,xzrupgi0d,29,MALE,0,2,0,0,5,125656,1-1235
172,211,52uopbrxo,22,FEMALE,4,1,0,1,1,635636,635646
173,212,52uopbrxo,22,FEMALE,5,1,1,1,2,654421,654421
174,213,52uopbrxo,22,FEMALE,4,1,0,1,3,241111,241611
175,214,52uopbrxo,22,FEMALE,3,1,0,1,4,511114,511113
176,215,52uopbrxo,22,FEMALE,2,1,0,1,5,335551,335651
177,216,52uopbrxo,22,FEMALE,1,1,0,1,6,264341,264441
178,217,52uopbrxo,22,FEMALE,0,1,0,1,7,155224,155324
179,218,3n74bqfe5,24,FEMALE,3,2,0,0,1,615664,6-2536
